081623_155945,experimentstats
,range,0.700000
,speed,14.140000
,density,1.399999,area,10.995578
,robots,10
,fillratio,0.950000
,sensorprob,-207000704.000000
081623_155945,trialindex,0
081623_155945,trialstats
,simseconds,1
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.000000
081623_155945,trialstats
,simseconds,2
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.100000
081623_155945,trialstats
,simseconds,3
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.000000
081623_155945,trialstats
,simseconds,4
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.200000
081623_155945,trialstats
,simseconds,5
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.300000
081623_155945,trialstats
,simseconds,6
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.200000
081623_155945,trialstats
,simseconds,7
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.400000
081623_155945,trialstats
,simseconds,8
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.400000
081623_155945,trialstats
,simseconds,9
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.300000
081623_155945,trialstats
,simseconds,10
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.200000
081623_155945,trialstats
,simseconds,11
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.300000
081623_155945,trialstats
,simseconds,12
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.300000
081623_155945,trialstats
,simseconds,13
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.600000
081623_155945,trialstats
,simseconds,14
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.400000
081623_155945,trialstats
,simseconds,15
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.500000
081623_155945,trialstats
,simseconds,16
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.500000
081623_155946,trialstats
,simseconds,17
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.600000
081623_155946,trialstats
,simseconds,18
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.400000
081623_155946,trialstats
,simseconds,19
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.400000
081623_155946,trialstats
,simseconds,20
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.700000
081623_155946,trialstats
,simseconds,21
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.600000
081623_155946,trialstats
,simseconds,22
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.500000
081623_155946,trialstats
,simseconds,23
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.500000
081623_155946,trialstats
,simseconds,24
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.500000
081623_155946,trialstats
,simseconds,25
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.400000
081623_155946,trialstats
,simseconds,26
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.400000
081623_155946,trialstats
,simseconds,27
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.300000
081623_155946,trialstats
,simseconds,28
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.400000
081623_155946,trialstats
,simseconds,29
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.400000
081623_155946,trialstats
,simseconds,30
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.300000
081623_155946,trialstats
,simseconds,31
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.300000
081623_155946,trialstats
,simseconds,32
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.500000
081623_155946,trialstats
,simseconds,33
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.600000
081623_155946,trialstats
,simseconds,34
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.500000
081623_155946,trialstats
,simseconds,35
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.500000
081623_155946,trialstats
,simseconds,36
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.500000
081623_155946,trialstats
,simseconds,37
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.300000
081623_155946,trialstats
,simseconds,38
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.500000
081623_155946,trialstats
,simseconds,39
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.700000
081623_155946,trialstats
,simseconds,40
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.600000
081623_155946,trialstats
,simseconds,41
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.500000
081623_155946,trialstats
,simseconds,42
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.600000
081623_155946,trialstats
,simseconds,43
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.600000
081623_155946,trialstats
,simseconds,44
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.600000
081623_155946,trialstats
,simseconds,45
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.300000
081623_155946,trialstats
,simseconds,46
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.400000
081623_155946,trialstats
,simseconds,47
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.500000
081623_155946,trialstats
,simseconds,48
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.300000
081623_155946,trialstats
,simseconds,49
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.600000
081623_155946,trialstats
,simseconds,50
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.500000
081623_155946,trialstats
,simseconds,51
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.500000
081623_155946,trialstats
,simseconds,52
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.500000
081623_155946,trialstats
,simseconds,53
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.500000
081623_155946,trialstats
,simseconds,54
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.700000
081623_155946,trialstats
,simseconds,55
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.600000
081623_155946,trialstats
,simseconds,56
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.600000
081623_155946,trialstats
,simseconds,57
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.700000
081623_155947,trialstats
,simseconds,58
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.700000
081623_155947,trialstats
,simseconds,59
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.700000
081623_155947,trialstats
,simseconds,60
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.800000
081623_155947,trialstats
,simseconds,61
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.900000
081623_155947,trialstats
,simseconds,62
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.800000
081623_155947,trialstats
,simseconds,63
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.600000
081623_155947,trialstats
,simseconds,64
,active,10
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,0.900000
081623_155947,trialstats
