081123_181839,experimentstats
,range,0.400000
,speed,14.140000
,density,0.228571,area,10.995578
,robots,5
,fillratio,0.950000
,sensorprob,0.900000
081123_181839,trialindex,0
081123_181840,trialstats
,simseconds,50
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.666667
081123_181840,trialstats
,simseconds,100
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.666667
081123_181841,trialstats
,simseconds,150
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.666667
081123_181842,trialstats
,simseconds,200
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.333333
081123_181842,trialindex,1
081123_181842,trialstats
,simseconds,50
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,1.000000
081123_181843,trialstats
,simseconds,100
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,1.000000
081123_181844,trialstats
,simseconds,150
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,1.000000
081123_181844,trialstats
,simseconds,200
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,1.000000
081123_181844,trialindex,2
081123_181845,trialstats
,simseconds,50
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.666667
081123_181846,trialstats
,simseconds,100
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.333333
081123_181846,trialstats
,simseconds,150
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.333333
081123_181847,trialstats
,simseconds,200
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.333333
081123_181847,experimentcomplete
