081123_181855,experimentstats
,range,0.400000
,speed,14.140000
,density,0.457143,area,10.995578
,robots,10
,fillratio,0.950000
,sensorprob,0.700000
081123_181855,trialindex,0
081123_181856,trialstats
,simseconds,50
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.125000
081123_181857,trialstats
,simseconds,100
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.500000
081123_181858,trialstats
,simseconds,150
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.625000
081123_181900,trialstats
,simseconds,200
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.875000
081123_181900,trialindex,1
081123_181901,trialstats
,simseconds,50
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.375000
081123_181902,trialstats
,simseconds,100
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.375000
081123_181904,trialstats
,simseconds,150
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.250000
081123_181905,trialstats
,simseconds,200
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.375000
081123_181905,trialindex,2
081123_181907,trialstats
,simseconds,50
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.375000
081123_181908,trialstats
,simseconds,100
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.500000
081123_181909,trialstats
,simseconds,150
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.500000
081123_181911,trialstats
,simseconds,200
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.750000
081123_181911,experimentcomplete
