081123_181847,experimentstats
,range,0.700000
,speed,14.140000
,density,0.700000,area,10.995578
,robots,5
,fillratio,0.950000
,sensorprob,0.900000
081123_181847,trialindex,0
081123_181847,trialstats
,simseconds,50
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.333333
081123_181848,trialstats
,simseconds,100
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.000000
081123_181849,trialstats
,simseconds,150
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.333333
081123_181849,trialstats
,simseconds,200
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.000000
081123_181849,trialindex,1
081123_181850,trialstats
,simseconds,50
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.666667
081123_181851,trialstats
,simseconds,100
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.666667
081123_181851,trialstats
,simseconds,150
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.666667
081123_181852,trialstats
,simseconds,200
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.666667
081123_181852,trialindex,2
081123_181853,trialstats
,simseconds,50
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.333333
081123_181853,trialstats
,simseconds,100
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.333333
081123_181854,trialstats
,simseconds,150
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.333333
081123_181855,trialstats
,simseconds,200
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.333333
081123_181855,experimentcomplete
