081123_181946,experimentstats
,range,0.700000
,speed,14.140000
,density,1.399999,area,10.995578
,robots,10
,fillratio,0.950000
,sensorprob,0.900000
081123_181946,trialindex,0
081123_181947,trialstats
,simseconds,50
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.625000
081123_181949,trialstats
,simseconds,100
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.625000
081123_181950,trialstats
,simseconds,150
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.250000
081123_181951,trialstats
,simseconds,200
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.250000
081123_181951,trialindex,1
081123_181953,trialstats
,simseconds,50
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.750000
081123_181954,trialstats
,simseconds,100
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.750000
081123_181956,trialstats
,simseconds,150
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.375000
081123_181957,trialstats
,simseconds,200
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.250000
081123_181957,trialindex,2
081123_181959,trialstats
,simseconds,50
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.875000
081123_182000,trialstats
,simseconds,100
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.750000
081123_182002,trialstats
,simseconds,150
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.500000
081123_182003,trialstats
,simseconds,200
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.625000
081123_182003,experimentcomplete
