081123_181824,experimentstats
,range,0.400000
,speed,14.140000
,density,0.228571,area,10.995578
,robots,5
,fillratio,0.950000
,sensorprob,0.700000
081123_181824,trialindex,0
081123_181825,trialstats
,simseconds,50
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.666667
081123_181825,trialstats
,simseconds,100
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.333333
081123_181826,trialstats
,simseconds,150
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,1.000000
081123_181827,trialstats
,simseconds,200
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,1.000000
081123_181827,trialindex,1
081123_181827,trialstats
,simseconds,50
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.333333
081123_181828,trialstats
,simseconds,100
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,1.000000
081123_181828,trialstats
,simseconds,150
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.666667
081123_181829,trialstats
,simseconds,200
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.666667
081123_181829,trialindex,2
081123_181830,trialstats
,simseconds,50
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.666667
081123_181830,trialstats
,simseconds,100
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.333333
081123_181831,trialstats
,simseconds,150
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,1.000000
081123_181832,trialstats
,simseconds,200
,active,3
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,1.000000
081123_181832,experimentcomplete
