081123_181929,experimentstats
,range,0.400000
,speed,14.140000
,density,0.457143,area,10.995578
,robots,10
,fillratio,0.950000
,sensorprob,0.900000
081123_181929,trialindex,0
081123_181930,trialstats
,simseconds,50
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.250000
081123_181932,trialstats
,simseconds,100
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.125000
081123_181933,trialstats
,simseconds,150
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.250000
081123_181934,trialstats
,simseconds,200
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.500000
081123_181934,trialindex,1
081123_181936,trialstats
,simseconds,50
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.625000
081123_181937,trialstats
,simseconds,100
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.625000
081123_181938,trialstats
,simseconds,150
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.875000
081123_181940,trialstats
,simseconds,200
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.750000
081123_181940,trialindex,2
081123_181941,trialstats
,simseconds,50
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,1.000000
081123_181943,trialstats
,simseconds,100
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.875000
081123_181944,trialstats
,simseconds,150
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,1.000000
081123_181946,trialstats
,simseconds,200
,active,8
,motion_disabled,2
,comms_disabled,0
,sense_disabled,2
,fractioncorrectdecisions,0.875000
081123_181946,experimentcomplete
